Title;DisplayName
Regex: To pull out a sub-string between two tags in a string;Dan
Asynchronous multi-direction server-client communication over the same open socket?;Adam Haile
Compressing / Decompressing Folders & Files;DylanJ
How big can a MySQL database get before performance starts to degrade;Grant
Limit size of Queue<T> in .NET?;tags2k
Is nAnt still supported and suitable for .net 3.5/VS2008?;Michael Stum
How to check for file lock?;ricree
How do I use (n)curses in Ruby?;Jake McGraw
Rockbox audio format;num1
"Followup: Finding an accurate ""distance"" between colors";Louis Brandy
BerkeleyDB Concurrency;Ted Dziuba
"Followup: ""Sorting"" colors by distinctiveness";Louis Brandy
What is a better file copy alternative than the Windows default?;Zack Peterson
Get the current logged in OS user in Adobe Air;Shawn
Best Practice: Collaborative Environment, Bin Directory, SVN;Ryan Eastabrook
Subsonic Vs NHibernate;Dan
"Is Windows Server 2008 ""Server Core"" appropriate for a SQL Server instance?";Dave Ward
ASP.Net Custom Client-Side Validation;Rob Allen
Make XAMPP/Apache serve file outside of htdocs;cmcculloh
Bandwith throttling in IIS 6 by IP Address;Shawn
How can I get the authenticated user name under Apache using plain HTTP authentication and PHP?;basszero
What is the best way to handle multiple permission types?;EndangeredMassa
Using object property as default for method property;cmcculloh
Modify Address Bar URL in AJAX App to Match Current State;jasonjwwilliams
How do you express binary literals in Python?;Justin Standard
What are the preferred versions of Vim and Emacs on Mac OS X?;Michiel de Mare
Integrating Visual Studio Test Project with Cruise Control;denny
How do I give my web sites an icon for iPhone?;Zack Peterson
Different Distributed Version Control Systems working together;Rob Allen
Hiding inherited members;MojoFilter
Reducing duplicate error handling code in C#?;Wedge
Linux shell equivalent on IIS;Kevin
What are the correct pixel dimensions for an apple-touch-icon?;Zack Peterson
What is the best way to copy a database?;Dan
Mechanisms for tracking DB schema changes;pix0r
Can I logically reorder columns in a table?;fastcall
How can I modify .xfdl files? (Update #1);CodingWithoutComments
Folders or Projects in a Visual Studio Solution?;Dan
XML Editing/Viewing Software;dragonmantank
What good technology podcasts are out there?;Michael Stum
How do you sort a dictionary by value?;Kalid
How do I calculate these statistics?;Ryan Fox
Is there a version control system for database structure changes?;EndangeredMassa
XML Processing in Python;saalon
What is the single most influential book every programmer should read?;NotMyself
Any experiences with Protocol Buffers?;saint_groceon
How can I get at the matches when using preg_replace in PHP?;Polsonby
.NET Unit Testing packages?;Orion Edwards
Why is my ternary expression not working?;Polsonby
Federated (Synced) Subversion servers?;Adam Haile
How do I make a menu that does not require the user to press [enter] to make a selection?;Grant
Wiggling the mouse;Bruce the Hoon
Locating Text within image;Pat
Python: What OS am I running on?;Mark Harrison
Triple Quotes? How do I delimit a databound Javascript string parameter in ASP.NET?;Dhaust
CSV File Imports in .Net;MattH
How to map a latitude/longitude to a distorted map?;Adam Ernst
Lucene Score results;Stephen Hendry
Are Multiple DataContext classes ever appropriate?;Yaakov Ellis
What language do you use for PostgreSQL triggers and stored procedures?;Mark Harrison
CPU throttling in C++;Piotr Tyburski
Python: what is the difference between (1,2,3) and [1,2,3], and when should I use each?;Mark Harrison
How far can LISP macros go?;Mike Stone
Any solution to Illegal Cross Thread Operation exception?;gil
Most Efficient Way to Test Object Type;Yaakov Ellis
Pass by reference or pass by value?;sven
What do the result codes in SVN mean?;Polsonby
How do I create a branch in SVN?;sparkes
Can a Windows dll retrieve its own filename?;Blorgbeard
How do I unit test persistence?;Jon Limjap
Monitor a specific RSS;Riri
What are MVP and MVC and what is the difference?;Mike Minutillo
Convert HashBytes to VarChar;GateKiller
How do I make a checkbox toggle from clicking on the text label as well?;Ronnie
Do sealed classes really offer performance Benefits?;Vaibhav
LINQ on the .NET 2.0 Runtime;urini
Developing for ASP.NET-MVC without Visual Studio;GateKiller
How do I define custom web.config sections with potential child elements and attributes for the properties?;Dave Anderson
Creating a custom JButton in Java;Anton
Easy way to AJAX WebControls;tags2k
iPhone app in landscape mode, 2008 systems;Michiel de Mare
Unload a COM control when working in VB6 IDE;Vincent Robert
How can I unit test Flex applications from within the IDE or a build script?;Rytmis
Calling shell commands from Ruby;CodingWithoutComments
Datatable vs Dataset;GateKiller
Mapping Stream data to data structures in C#;geocoin
ASP.NET URL Rewriting;GateKiller
How to filter and combine 2 datasets in C#;saalon
Add Custom Tag to Visual Studio Validation;Rob Allen
How to contribute code back to an Open Source project?;Brett Veenstra
